Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Canada,40.088,42.907,44.807,57.402,60.853,57.048,61.207,70.643,70.527,68.332,71.1342,65.6134,69.0294,72.8233,74.9802,75.8794,78.76,75.2681,72.3577,69.1043,70.4815,66.9982,62.5796,66.2064,68.4309,67.4108,68.9543,68.3958,64.6377,67.9737,67.4541,67.3005,68.4181,68.3051,62.3552,62.3515,60.5961,55.0475,53.1655,45.2849,46.74047409
Mexico,3.032331475,3.751215811,4.851129007,5.335241053,5.525976202,6.216795122,6.9314708,6.345855589,6.770533932,6.929812076,6.405623111,6.104177561,6.615141667,8.999131459,8.889171051,9.690486263,9.424212151,10.10746745,10.32580265,11.34394813,8.857092657,7.079758976,9.195092269,12.22848439,12.65704348,14.10992339,15.23216977,14.420357,12.69434897,15.27051471,19.61605628,15.20510998,14.63316998,14.89554998,12.25289998,11.40894998,12.92858998,11.88398,9.75542,7.746920006,7.44182409
United States of America,747.3160762,760.3223833,709.5009892,812.7656122,801.6229801,807.6798813,833.4869763,862.0661211,889.7021531,933.5615732,903.5413383,904.9575008,857.6744473,937.579282,937.0982083,965.1138862,988.7696344,1013.810654,998.2941666,973.9643801,1023.022207,992.7167951,972.2779238,1008.879198,1026.477674,1054.82901,1040.209728,1063.047196,975.1540549,983.722193,993.9365376,922.115525,893.4333938,907.2289325,813.6907556,660.7611286,702.7137571,685.9832192,640.7529569,485.7378538,524.4082999
Brazil,5.689,6.346,6.737,7.519,7.712,7.391,6.884,7.331,6.671,4.116666,4.910049,4.629,4.550757,5.140475,5.101425,4.761189,5.6326,5.570416,5.719608,6.696842,5.645578,7.595625,6.809558,7.80751,8.017757,8.12221,8.34144,8.791572,8.319929,7.707462,7.564836,8.174374,9.468086,9.351638,8.049604,7.500464,5.841825,6.432749,5.843574,7.060094336,8.239395407
Colombia,3.9904,4.4216,5.0532,6.637,8.974,10.737,14.594,15.101,18.902,20.468,20.031,21.9,21.713,22.665,25.74,29.564,32.742,33.561,32.754,38.242,43.911492,39.48446488,50.02809337,53.887596,59.675097,66.19187,69.90221,73.50209,72.807412,74.35013326,85.80322912,89.812,86.023,89.412,86.47,91.179,91.291,86.327,85.169,52.317,59.6
Venezuela,0.05,0.05,0.04,0.05,0.04,0.06,0.24,1.07,2.11,2.15,2.4,2.48,3.96,4.44,4.35,4.18,5.29,6.46,6.59,7.88,7.69,8.1,7.03,8.107304,7.195,7.16359,6.855341,5.053704,3.278307,2.63082,2.611436,1.910801,1.229309,0.80064,0.801697,0.749227227,0.720049423,0.692007916,0.393967639,0.284739644,0.157717976
Bulgaria,29.24,32.21,32.39,32.36,30.88,35.22,36.82,34.15,34.3,31.67495342,31.0414479,32.71286093,31.50118673,31.02933178,33.22759345,33.57519594,29.7080112,30.11079998,25.2978042,26.43197875,26.61128034,26.01805667,27.29925496,26.4850113,24.69480439,25.67786491,28.72444471,29.06253245,27.29937035,29.4381072,37.13195573,33.43041562,28.63482754,31.32633101,35.91275718,31.28895127,34.31882,30.56534538,28.304123,22.543402,28.50918243
Czech Republic,117.72,118.79,123.04,124.93,122.8,123.06,122.15,119.8,114.06,101.354,96.185,86.565,85.181,76.944,74.332,76.223,73.515,67.529,59.133,65.162,66.106,63.356,63.906,61.8,62.026,62.903,62.626,60.2,56.417,55.367,58.08,55.185,49.131,47.077,46.531,45.543,44.906774,43.765593,41.026758,31.633004,31.49773941
Germany,492.8,499.7,476.5,501.8,521.6,513.218,502.85,498.325,482.749,427.433,346.382,307.906,280.67,259.664,246.684,235.759,223.562,207.293,201.095,201.572,203.015,208.416,205.228,208.036,203.072,197.406,201.94,192.484,183.623,182.303,188.561,196.202,190.561,185.795,184.288,175.396,175.122,168.842,131.3,107.4,126
Greece,27.32,27.4,30.59,32.5,35.89,38.1,44.612,48.323,51.866,51.896,52.695,55.051,54.817,56.672,57.662,59.781,58.844,60.884,62.051,63.887,66.344,70.468,68.299,70.041,69.398,64.787,66.308,65.72,64.893,56.52,58.666,62.956,53.924,50.845,46.246,32.638,37.731348,36.4888,12.72310888,6.544423638,5.714690292
Hungary,25.942181,26.078701,25.212983,25.047585,24.042514,23.128697,22.84435,20.874782,20.029843,17.577931,16.974206,15.943,14.434,13.906363,14.451924,15.471,16.172,15.068,14.917,14.276,14.070262,12.763971,13.358823,11.250258,9.57,9.952,9.818,9.404,8.986,9.113,9.555,9.29,9.558,9.551,9.261,9.216,7.972,7.898,6.847,6.125,4.987539242
Poland,198.64,226.96,233.62,241.97,249.39,259.34,266.21,266.51,249.45,215.32,209.79,198.38,198.58,200.7,200.72,201.72,200.93,178.55,172.73,162.82,163.54,161.92,163.79,161.284,159.54,156.065,145.85,144.013,135.172,133.238,139.289,144.093,142.906,137.148,135.814,131.029,127.076,122.427868,112.40916,100.697281,107.64038
Romania,39.564,41.433,48.759,47.799,49.819,51.432,55.699,62.917,66.462,38.183,32.414,38.37,39.777,40.566,41.127,41.871,33.807,26.235,22.893,29.294,33.303,30.428,33.082,31.8,31.112,34.932,35.781,35.871,33.97,31.13,35.513,33.947,24.722,23.567,25.497,22.987,25.759221,23.652908,21.653156,15.032728,17.76898514
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.658,39.187,38.814,37.864,40.778,38.172,40.254,29.82,37.788,38.545527,39.884959,37.6754771,38.98852,39.703059,36.44755587
Spain,35.676,39.305,39.953,39.592,39.663,38.323,34.634,31.909,36.578,35.952,33.52,33.299,31.565,29.491,28.464,27.37,26.467,26.075,24.258,23.486,22.684,22.035,20.548,20.496,19.354,18.399,17.18,10.203,9.445,8.43,6.621,6.181,4.368,3.899,3.064,1.741802,2.977,2.401,0.12584,0.095377,0.099
Turkey,21.006,22.672,25.245,29.972,39.997,46.417,46.988,39.218,52.216,47.428,46.108,51.431,48.56,54.372,55.073,56.36359747,59.92941562,67.38287578,67.0372127,63.26813386,62.09636164,53.98393646,48.562766,46.377239,60.766,64.255,75.365,79.402,79.498,73.399,75.9783,71.461,60.39249726,65.249,58.414,73.003948,74.09812353,83.93620328,87.089072,74.71146844,85.63288676
Ukraine,0,0,0,0,170.947,175.088,173.143,172.1551509,161.827638,159.213,135.23,126.375,108.717,88.598,77.875,57.989,59.345,60.215,63.464,62.89,62.097,62.242,60.685,60.281,61.386,62.393,59.147,59.822,55.426,55.387,63.191,66.151,64.894,45.687,30.408,32.17,24.685,26.794,26.07,24.44,24.92297808
United Kingdom,127.469,124.711,119.254,51.182,94.111,108.099,104.533,104.066,99.82,92.762,94.202,84.493,68.199,49.785,53.037,50.197,48.495,41.177,37.077,31.19758267,31.929856,29.989155,28.278729,25.096057,20.498293,18.517162,17.007227,18.05324257,17.87363382,18.34663037,18.55197821,16.96666706,12.76744561,11.64761179,8.598017523,4.17779643,3.041064486,2.580876056,2.166397294,1.67329,1.05382
Kazakhstan,0,0,0,0,130.8,137.5,142.1,143.1,138.4,131.443,130.382,126.536,111.88,104.625,83.271,76.831,72.647,69.773,58.378,74.872,79.07669985,73.73025986,84.9062,86.8746,86.5858,96.1591,97.8286,111.071892,100.854051,110.929564,116.4495,120.5273,119.5737,113.9851,107.3181978,103.074,112.2936,118.4833,115.0012,113.3976,115.6939
Russia,0,0,0,0,409.252,423.948,424.087,440,422.8,405.1941176,362.2358824,349.0041765,311.8620588,278.3041765,269.5747647,262.353441,250.3853658,235.4576542,255.2031539,262.2104547,274.3250431,258.907714,279.006207,284.6584422,300.1355517,311.3705882,315.7005152,330.2122799,302.5486533,322.93663,337.4,358.3,355.231,357.3969925,372.4823529,386.6134706,412.5403407,441.5764706,440.9057832,399.6642382,433.6705882
Uzbekistan,0,0,0,0,5.3,6,5,5.5,6.2,6.5,5.948,4.68,3.807,3.845,3.054,2.837,2.946,2.952,2.956,2.501,2.711,2.7364,1.913,2.699,3.0023,3.1223,3.2733,3.602,3.6542,3.6294,3.844804,3.75294,4.09002,4.39682,3.48797,3.86725,4.03863,4.17443,4.04794,4.1330511,4.7812
