,Canada,Mexico,US,Brazil,Colombia,Venezuela,Bulgaria,Czech Republic,Germany,Greece,Hungary,Poland,Romania,Serbia,Spain,Turkey,Ukraine,United Kingdom,Kazakhstan,Russia,Uzbekistan,South Africa,Zimbabwe,Australia,China,India,Indonesia,Japan,Mongolia,New Zealand,Pakistan,South Korea,Thailand,Vietnam
1985,60.853,5.525976202,801.6229801,7.712,8.974,0.04,30.88,122.8,521.6,35.89,24.042514,249.39,49.819,0.0,39.663,39.997,170.947,94.111,130.8,409.252,5.3,173.52,3.11,168.5635,872.3,157.45,2.0,16.38,6.523,2.39001,2.19,22.543,5.14615,5.6
1986,57.048,6.216795122,807.6798813,7.391,10.737,0.06,35.22,123.06,513.218,38.1,23.128697,259.34,51.432,0.0,38.323,46.417,175.088,108.099,137.5,423.948,6.0,176.72,4.05,180.326,894.0,169.18,2.59,16.01,7.065,2.517947,2.05,24.253,5.538084,6.1
1987,61.207,6.9314708,833.4869763,6.884,14.594,0.24,36.82,122.15,502.85,44.612,22.84435,266.21,55.699,0.0,34.634,46.988,173.143,104.533,142.1,424.087,5.0,176.55,4.83,190.074,928.1,185.36,3.03,13.05,7.765,2.220996,2.41,24.274,6.931257,6.3
1988,70.643,6.345855589,862.0661211,7.331,15.101,1.07,34.15,119.8,498.325,48.323,20.874782,266.51,62.917,0.0,31.909,39.218,172.1551509,104.066,143.1,440.0,5.5,181.36,5.07,189.5125,979.9,196.98,4.49,11.23,8.606,2.438071,2.7,24.295,7.295059,6.1
1989,70.527,6.770533932,889.7021531,6.671,18.902,2.11,34.3,114.06,482.749,51.866,20.029843,249.45,66.462,0.0,36.578,52.216,161.827638,99.82,138.4,422.8,6.2,176.28,5.11,204.5395,1054.2,215.29,8.7,10.19,8.045,2.713016,2.72,20.785,9.009922,5.1
1990,68.332,6.929812076,933.5615732,4.116666,20.468,2.15,31.67495342,101.354,427.433,51.896,17.577931,215.32,38.183,0.0,35.952,47.428,159.213,92.762,131.443,405.1941176,6.5,174.78,5.5,213.1425,1079.883,223.34,10.73,8.26,7.157,2.57856,2.82,17.217,12.438473,5.1
1991,71.1342,6.405623111,903.5413383,4.910049,20.031,2.4,31.0414479,96.185,346.382,52.695,16.974206,209.79,32.414,0.0,33.52,46.108,135.23,94.202,130.382,362.2358824,5.948,178.39,5.62,221.1215,1087.406,239.9,13.84,8.05,7.037,2.689025,2.83,15.058,14.646015,5.2
1992,65.6134,6.104177561,904.9575008,4.629,21.9,2.48,32.71286093,86.565,307.906,55.051,15.943,198.38,38.37,0.0,33.299,51.431,126.375,84.493,126.536,349.0041765,4.68,184.045893,5.55,231.8315,1116.38,253.8,22.36,7.6,6.2474,3.018059,2.98,11.969,15.408561,5.2
1993,69.0294,6.615141667,857.6744473,4.550757,21.713,3.96,31.50118673,85.181,280.67,54.817,14.434,198.58,39.777,0.0,31.565,48.56,108.717,68.199,111.88,311.8620588,3.807,188.214016,5.29,230.8485,1150.67,263.19,27.58,7.22,5.617,3.336808,3.15,9.407,15.557927,6.5
1994,72.8233,8.999131459,937.579282,5.140475,22.665,4.44,31.02933178,76.944,259.664,56.672,13.906363,200.7,40.566,0.0,29.491,54.372,88.598,49.785,104.625,278.3041765,3.845,195.80544,5.47,236.387,1239.901,270.86,32.87,6.93,5.158,3.033235,3.02,7.398,17.104871,6.04
